Sentence,IsDescription
Working knowledge experience Systems Engineering Systems Thinking preferred,0
Experience producing clear written technical communications preferred,0
Experience designing system software electronic hardware architectures preferred,0
Successful candidates ableto demonstrate leadership behaviors combined outstanding interpersonal team building communication skills,0
Visa sponsorship available position.,0
Candidates positions Ford Motor Company must legally authorized work United States.,0
Verification employment eligibility required time hire.,0
We Equal Opportunity Employer committed culturally diverse workforce.,0
qualified applicants receive consideration employment without regard race religion color age sex national origin sexual orientation gender identity disability status protected veteran status.,0
United States need reasonable accommodation online application process due disability please call 18883360660.,0
LIHybrid Requisition ID 15779,0
DFOM looking talented driven professionals general engineering experience,0
join team put technical expertise use addressing managing developing implementing innovative solutions facility operational engineering issues,0
Join team facilities engineers support National Institutes Health cutting edge biomedical research occurs,0
Responsibilities General Engineer will Develop implement guidelines processes procedures recommends overall strategic direction programs sustained accreditation certification managing short longterm projects,1
Develop evaluates metrics assess equipment building utility distribution monitoring systems,1
Serve liaison ORF customers Institutes Centers IC technical subject matter experts,1
Review contract documents design construction submissions automation controls submissions shop drawings asbuilts,1
Lead investigations troubleshooting efforts related building mechanical electrical automation systems etc,1
provides direction advice recommendations resolve problems,1
Translate technical data analyses building automation system engineering metrics actionable activities building staff correct improve facility operation,1
Review technical proposals provide guidance acquisition officials selection contractors,1
Conditions Employment Qualifications order meet Basic Qualification Requirements General Engineer GS0801 position must have A,0
degree professional engineering school engineering least one curriculum accredited Accreditation Board Engineering Technology ABET professional engineering curriculum,0
B,0
degree professional engineering includes differential integral calculus courses more advanced firstyear physics chemistry 5 following 7 areas engineering science physics 1 statics dynamics 2 strength materials stressstrain relationships 3 fluid mechanics hydraulics 4 thermodynamics 5 electrical fields circuits 6 nature properties materials relating particle aggregate structure properties 7 comparable area fundamental engineering science physics optics heat transfer soil mechanics electronics,0
C,0
registered professional engineer State District Columbia Guam Puerto Rico,0
D,0
currently registered Engineering Intern EI Engineer Training EIT,0
E,0
successfully passed Fundamentals Engineering FE examination written test required professional registration engineering licensure board various States District Columbia Guam Puerto Rico,0
F,0
successfully completed least 60 semester hours courses physical mathematical engineering sciences engineering included courses specified basic requirements,0
courses must fully acceptable toward meeting requirements professional engineering curriculum described above,0
G,0
successfully completed curriculum led bachelors degree engineering technology appropriate professional field,0
physics chemistry architecture computer science mathematics hydrology geology least 1 year professional engineering experience acquired professional engineering supervision guidance,0
addition order qualify General Engineer GS0801 position GS13 level must 1 year specialized experience equivalent least GS12 level Federal service obtained either private public sector performing following types tasks implementing engineering accreditation program guidelines procedures reviewing design construction submissions automation controls submissions shop drawings ensuring engineering compliance building codes standards accreditation guidelines investigating troubleshooting issues building mechanical electrical automation systems drafting scopes work cost estimates repair replacement design construction projects,0
receive credit experience material position including experience gained religious civic welfare service organizational activities regardless whether received pay,0
copy paste duties specialized experience occupational assessment questionnaire announcement resume considered demonstration qualifications position,0
Preview assessment questionnaire apply .govViewQuestionnaire12093520 Education position education requirement,0
strongly encouraged submit copy transcripts or list courses including titles credit hours completed grades,0
Unofficial transcripts accepted application package,0
Official transcripts required selectees prior receiving official offer,0
Click information Foreign Education,0
Additional Information position designated nonemergencyteleworker position selected candidate considered nonemergencyteleworker employee,0
event closure must available telework request leave,0
oneyear probationary period may required upon selectionplacement,0
supervisors discretion position may offer work schedule flexibilities telework work home regular basis ad hoc basis reports office least weektwo days pay period compressed schedules flexible schedules,0
PHS Commissioned Officers interested performing duties position within Commissioned Corps also apply online announcement order receive consideration,0
National Institutes Health participates USCIS Electronic Employment Eligibility Verification Program EVerify,0
EVerify helps employers determine employment eligibility new hires validity Social Security numbers,0
NIH maintains tobacco free work environment campus,0
Must able perform essential duties position without reasonable accommodation,0
Visit Applicant FAQs page helpful information application process,0
Visit Total Compensation page sample detailed look benefits awards leave retirement incentives employees may receive part rewarding work environment,0
Conditions Employment Qualifications order meet Basic Qualification Requirements General Engineer GS0801 position must have A,0
registered professional engineer State District Columbia Guam Puerto Rico,0
currently registered Engineering Intern EI Engineer Training EIT,0
successfully passed Fundamentals Engineering FE examination written test required professional registration engineering licensure board various States District Columbia Guam Puerto Rico,0
addition order qualify General Engineer GS0801 position GS13 level must 1 year specialized experience equivalent least GS12 level Federal service obtained either private public sector performing following types tasks implementing engineering accreditation program guidelines procedures reviewing design construction submissions automation controls submissions shop drawings ensuring engineering compliance building codes standards accreditation guidelines investigating troubleshooting issues building mechanical electrical automation systems drafting scopes work cost estimates repair replacement design construction projects,0
receive credit experience material position including experience gained religious civic welfare service organizational activities regardless whether received pay,0
copy paste duties specialized experience occupational assessment questionnaire announcement resume considered demonstration qualifications position,0
Preview assessment questionnaire apply .govViewQuestionnaire12093520 Education position education requirement,0
strongly encouraged submit copy transcripts or list courses including titles credit hours completed grades,0
Unofficial transcripts accepted application package,0
Official transcripts required selectees prior receiving official offer,0
Click information Foreign Education,0
Additional Information position designated nonemergencyteleworker position selected candidate considered nonemergencyteleworker employee,0
oneyear probationary period may required upon selectionplacement,0
supervisors discretion position may offer work schedule flexibilities telework work home regular basis ad hoc basis reports office least weektwo days pay period compressed schedules flexible schedules,0
PHS Commissioned Officers interested performing duties position within Commissioned Corps also apply online announcement order receive consideration,0
National Institutes Health participates USCIS Electronic Employment Eligibility Verification Program EVerify,0
NIH maintains tobacco free work environment campus,0
THE COMPANY Vitesco Technologies leading international developer manufacturer state-of-the-art powertrain technologies sustainable mobility.,0
smart system solutions components electric hybrid internal combustion drivetrains Vitesco Technologies makes mobility clean efficient affordable.,0
Seguin Texas location seeking highly self-motivated detail-oriented Entry Level Process Engineer join team.,0
Vitesco Technologies leading international developer manufacturer cutting-edge drive systems sustainable mobility.,0
intelligent system solutions components electric hybrid internal combustion drive systems Vitesco Technologies making mobility clean efficient affordable.,0
product portfolio includes electric drives electronic controls sensors actuators exhaust gas treatment solutions.,0
2022 Vitesco Technologies generated sales around billion employs workforce around 38 000 employees 50 locations.,0
Vitesco Technologies headquartered Regensburg Germany.,0
Manufacturing Process Engineer 1 Job ID 34009 Location Seguin US,1
THE POSITION Process Engineer responsible multiple pieces manufacturing equipment respective process.,1
role individual will responsible manufacturing equipment process.,1
Monitor equipment performance Respond production equipment breakdowns help diagnose faults determine root cause repair Support day-to-day manufacturing process issues.,1
Give direction maintenance technicians troubleshooting repairing machinery,1
Prepare maintain process documentation setup matrix parameter cards work instructions process guides Prepare maintain equipment documentation setup schematics operating guides spare parts lists troubleshooting guides maintenance procedures.,1
Select components industrial automation purpose repairing modifying improving equipment.,1
Plan conduct process characterizations Implement corrective actions,1
Lead drive activities projects improve OEE MTBF MTTR scrap FPY via problem-solving process optimization Advanced manufacturing line problem solving related manufacturing process related defects.,1
Planning undertaking scheduled equipment maintenance Perform equipment process setup validation Work cross-functional teams Production Maintenance Quality Industrial Engineering IT Participate meetings daily weekly Provide updates actions Provide feedback equipment process related topics Design implement equipment modifications mechanical electrical software Work suppliers automation machine shops component vendors reps Become process expert capable making parameter changes improvements.,1
Become knowledgeable Lean Manufacturing principles practices.,1
Learn collect record process analyze transcribe data show results reports.,1
Support introduction new models products assembly line Develop procure tooling Equipment modifications setup Process setup validation Documentation update Support TPM program providing mentoring training peers technicians operator personnel.,1
Self-manage professional development training identifying setting trainings equipment suppliers automation vendors.,1
BASIC QUALIFICATIONS Bachelors degree Engineering Mechatronics Mechanical Electrical Manufacturing related field 03 years experience manufacturing field Basic knowledge 3D CAD modeling AutoCAD Solidworks Inventor Basic knowledge programming languages C visual basic python ladder logic Knowledge Microsoft Office suite Outlook Word Excel PowerPoint Teams Manufacturing-related internship.,0
Bachelor Mechatronics Engineering ability work well pressure Good verbal written communication skills Problemsolving skills techniques 5 why 8D Ishikawa diagram Efficiency organization Knowledge Lean manufacturing practices Kanban PokeYoke JIT Value Stream Mapping Tool fixture design Excellent teamwork collaboration capabilities Design application knowledge ergonomics machine safety standards Basic knowledge statistical process control SPC Data analytics use software packages MS Excel Power BI Knime PLC HMI programming Basic knowledge Rockwell Studio 5000 Factory Talk packages Basic knowledge interpretation mechanical drawings pneumatic electrical schematics Basic knowledge use mechanical electrical tools measurement devices.,0
Understanding knowledge industrial machinery electromechanical systems machine elements electropneumatics sensors PLCs low voltage controls three-phase power distribution vision systems hydraulics robotics.,0
Experience operation maintenance industrial manufacturing equipment.,0
Legal authorization work . required.,0
sponsor individuals employment visas future job opening.,0
Qualified applicants considered specific openings apply.,0
EEO Statement Vitesco Technologies Equal Employment Opportunity/Affirmative Action Employer.,0
welcome and encourage qualified candidates apply including limited people disabilities members LGBTQ community people ethnicities creeds working parents people long unemployment periods.,0
qualified individuals receive consideration without regard race color sex sexual orientation gender identity age religion national origin disability veteran status status protected law.,0
need assistance reasonable accommodation due disability application recruiting process please send request . email address reserved solely job seekers disabilities requesting accessibility assistance accommodation job application process.,0
Do love building without precedent?,0
take imaginative revolutionary ideas determine turn reality!,0
Join us exciting silicon design group responsible designing innovative ASICs help design tools allow us bring customers experiences theyve neverbefore envisioned.,0
extraordinary opportunity Standard Cell Design Methodology Flow Engineers.,0
highly visible role heart processor design effort working custom digital circuits team library development making critical impact delivering products market quickly.,0
Imagine center ground breaking processor design deep submicron technologies standard cell library designs.,0
drive concepts transistor level circuit design modeling performance analysis collaborating fields playing strategic role getting functional products millions customers quickly.,0
opportunity integrate comeup new insights well work team talent engineers.,0
Standard Cell Design Methodology Flow Engineer custom circuits team will interface internal CAD team planning production flows foundry PDK requirements.,0
education related advancing career Apple reimbursement certain educational expenses including tuition.,0
Back search results,1
Summary,1
Posted May 26 2023,1
Role Number 200482075,1
team apply engineering fundamentals start scratch needed bringing forwardthinking ideas real world.,1
efforts groundbreaking!,1
Key Qualifications,1
Description,1
Standard Cell Design Methodology Flow Engineer custom circuits team will interface internal CAD team planning production flows foundry PDK requirements.,1
Collaborate technology team new process requirements work designCAD team enable relevant toolsflows.,1
Implement complex digital block VerilogSystemVerilog run Synthesis proper constraints perform blockchip level STA analyze reports.,1
responsible working designCAD team formulate automation specifications characterizing modeling complex combo sequential circuits.,1
Education Experience BS minimum 3 years relevant industry experience,1
Additional Requirements,1
looking applicants one following minimum 3 years years Library Characterization TimingPowerCCS NoiseVariation Modeling Liberty Formats Spice simulation Static Timing Power Analysis flows etc.,0
Experience timing modeling large custom macros complex sequential flops.,0
Experience RTL development digital components ability run synthesis timing constraints perform blockfull chip STA constraints Timing analysis.,0
Exposure Design Test scan concept write DFT friendly RTL.,0
Understands aspects implementation specification design timing power flow automation.,0
Data analysis ML knowledge study data trend perform QA big dataset automation.,0
Flow automation skills standard cells development integration improve execution efficiency.,0
Experience using TCLPerlPython.,0
Knowledge FE modelingVerilog VHDL experience various EDA tools synthesis placeroute Verilog simulation spice simulation formal verification DRCLVS RC extraction library characterization.,0
Proven understanding device physics process.,0
Familiar foundry ecosystem benchmarking practice.,0
Great interpersonal skills champion initiatives internally externally effective communication executive management external partners.,0
Technical analytical multifunctional collaboration skills.,0
Pay Benefits Apple base pay one part total compensation package determined within range.,0
provides opportunity progress grow develop within role.,0
base pay range role 121 000 230 000 base pay depend skills qualifications experience employees also opportunity become Apple shareholder participation Apples discretionary employee stock programs.,0
Apple employees eligible discretionary restricted stock unit awards purchase Apple stock discount voluntarily participating Apples Employee Stock Purchase Plan.,0
also receive benefits including Comprehensive medical dental coverage retirement benefits range discounted products free services formal education related advancing career Apple reimbursement certain educational expenses including tuition.,0
Additionally role might eligible discretionary bonuses commission payments well Apple Apple benefit compensation employee stock programs subject eligibility requirements terms applicable plan program.,0
Apple Footer Apple equal opportunity employer committed inclusion diversity.,0
take affirmative action ensure equal opportunity applicants without regard race color religion sex sexual orientation gender identity national origin disability Veteran status legally protected characteristics.,0
Learn EEO rights applicant Opens new window .,0
Apple discriminate retaliate applicants inquire about disclose discuss compensation applicants.,0
United States Department Labor.,0
Learn Opens new window .,0
Apple consider employment qualified applicants criminal histories manner consistent applicable law.,0
applying position San Francisco review San Francisco Fair Chance Ordinance guidelines opens new window applicable area.,0
Apple participates EVerify program certain locations required law.,0
Learn EVerify program Opens new window .,0
Apple committed working providing reasonable accommodation applicants physical mental disabilities.,0
Apple drugfree workplace.,0
Reasonable Accommodation Drug Free Workplace policy Learn Opens new window .,0
part Intels strategy FSM rapidly expanding operation deliver output internal foundry customers stateoftheart technologies arriving highvolume manufacturing 2year cadence going forward.,0
Intel recently created HVM Global Yield organization FSM strengthen yield operation enable fastpaced yield rampup early HVM phases technology collaboration Technology Development team FSM fab managers.,0
Inside Business Group As worlds largest chip manufacturer Intel strives make every facet semiconductor manufacturing stateoftheart semiconductor process development manufacturing yield improvement packaging final test optimization world class Supply Chain facilities support.,0
This job requisition seek Defect Control engineering roles FSM HVM Global Yield organization reporting Defect Control team manager.,1
Selected candidates work members Global Yield org including Process Integration Yield Analysis Device Integration teams fab moduleyield teams TD team members achieve yield rampup process optimization early production stage supporting internal external customers.,1
Defect Control engineers responsibilities include but limited to Collaborate Technology Development team Process Integration team members import setup new technology production fabs.,1
Work Process Integration teams Yield Analysis team FSM Yield teams rampup production yield highvolume manufacturing phases.,1
Set optimize wafer inspection steps recipes process flow ensure detection yield detracting defects line step.,1
Execute production wafer inspection strategy protect yield quality maximum productivity lowest cost.,1
Build maintain update defect library per technology per product.,1
Identify systematic defect issues drive mitigation actions Defect Reduction team defined timeline meet committed production yield targets.,1
Minimum qualifications Bachelors degree science engineering major.,0
Handson experience advanced node semiconductor industry Defect engineering Failure analysis.,0
3 years experience identifying defect mechanism assessing yield impact improving D0.,0
3 years experience defect inspection tools highvolume semiconductor manufacturing.,0
3 years Handson experience wafer inspection recipe setup optimization.,0
3 years experience layoutsensitive defects knowledge scan diagnosis defect analysis skills.,0
3 years experience working level understanding Device Physics experience FinFET technology development highvolume manufacturing.,0
Preferred qualifications Advanced degree Masters . Physics Materials Science major.,0
Experience projectprogram management TFT lead.,0
Demonstrated interpersonal skills including influencing engaging motivating.,0
Experience serving external Foundry customers technical interactions.,0
Experience GAA GateAllAround technology architecture understanding GAAspecific defect issues.,0
Experience new semiconductor technology development.,0
Basic understanding collaboration experience module processes including lithography dry etch wet etch CMP diffusion implant thin films metrology.,0
Intel aligns federal state local laws contractor .,0
Government subject government mandates may issued.,0
Intel policies COVID19 including guidance testing vaccination subject change time.,0
Posting Statement All qualified applicants receive consideration employment without regard race color religion religious creed sex national origin ancestry age physical mental disability medical condition genetic information military veteran status marital status pregnancy gender gender expression gender identity sexual orientation characteristic protected local law regulation ordinance.,0
Our computational challenges big complex unique cant purchase offtheshelf hardware weve got make ourselves.,0
team designs builds hardware software networking technologies power Googles services.,0
Hardware Engineer design build systems heart worlds largest powerful computing infrastructure.,0
develop lowest levels circuit design large system design see systems way high volume manufacturing.,0
work potential shape machinery goes cuttingedge data centers affecting millions Google users.,0
In role help build SoCs power developingdeploying comprehensive manufacturing testdata analytics solutions high volume manufacturing wafer fabrication OSATs.,0
help integrate SoC technologies devices drive manufacturing test flows validate performancescreen devices.,0
drive yield improvement cost optimization work closely crossfunctional teams ensure optimal test coverage production ensure high quality SoCs.,0
work various groups develop screening methodologiesflows data processing analytics diagnostics.,0
also work releasing cost effective production test solutions mass production.,0
Behind everything users see online architecture built Technical Infrastructure team keep running.,0
developing maintaining data centers building next generation Google platforms make Googles product portfolio possible.,0
Were proud engineers engineers love voiding warranties taking things apart rebuild them.,0
keep networks running ensuring users best fastest experience possible.,0
The US base salary range fulltime position 146 000220 000 bonus equity benefits.,1
salary ranges determined role level location.,1
range displayed job posting reflects minimum maximum target new hire salaries position across US locations.,1
Within range individual pay determined work location additional factors including jobrelated skills experience relevant education training.,1
recruiter share specific salary range preferred location hiring process.,1
Please note compensation details listed US role postings reflect base salary only include bonus equity benefits.,1
Learn benefits Google .combenefits .,1
Develop execute strategies SoC Product New Product Introduction bringup verification characterization qualification support.,1
Drive interactions wafer fabrication OSATs drive checkpoints key quality metrics.,1
Setup maintain test diagnosis yield analysis infrastructure including RMA support.,1
Support volume ramp production test program upgrades releases volume data analytics lot disposition extended test time reduction yield improvement RMA analysis etc.,1
Collaborate crossfunctional teams across globe including ATE Test Engineering Packaging Supply chain Operations build deploy high volume manufacturing screening solution.,1
Bachelors degree Electrical Engineering Computer Science related technical field equivalent practical experience.,0
4 years experience product yield test engineering.,0
Experience test design test coverage analytics diagnostics NPI highvolume manufacturing.,0
Experience IC flows wafer processing testing qualification diagnostics failure analysis.,0
Masters degree Computer Science Electrical Engineering related technical field.,0
7 years experience product engineering including test engineering.,0
Experience industry standards design tools DFT best practices including TDF ATPG MBIST Memory Repair diagnostic tools yield improvement.,0
Experience evaluating customer returns ATE SLT identifying coverage gaps developing incremental structuralfunctional patterns address quality issues.,0
Experience delivering HVM screening solutions highperformance computing chips advanced technology nodes low DPPM.,0
Experience Statistical analysis . JMP Yield Management Systems . Exensio YieldExplorer Python data analytics.,0
Google proud equal opportunity workplace affirmative action employer.,0
committed equal employment opportunity regardless race color ancestry religion sex national origin sexual orientation age citizenship marital status disability gender identity Veteran status.,0
also consider qualified applicants regardless criminal histories consistent legal requirements.,0
See also .comeeo .,0
need requires accommodation please let us know completing Accommodations Applicants form .,0
Great opportunity Substation Engineer 5 years experience,0
one largest companies electrical power renewable energy.,0
Why part Actalent growing Engineering team,0
Work dedicated career partner specialized power utilities skill sets,0
advocate behalf get want need job,0
Get performance feedback career advice access ongoing professional development tools,0
Build career learn new skills projects diverse curiosity eligible benefits paid timeoff competitive wages paid weekly,0
About Actalent Actalent connects passion purpose.,0
help visionary companies advance engineering science initiatives access specialized experts drive scale innovation speed market.,0
network almost 30 000 engineering sciences consultants 4 500 clients across . Canada Asia Europe Actalent serves many Fortune 500.,0
operating company Allegis Group global leader talent solutions Actalent launched new specialized engineering sciences service workforce solutions brand 2021.,0
Actalent equal opportunity employer.,0
Diversity Equity Inclusion At Actalent diversity inclusion bridge towards equity success people.,0
DEI embedded culture through Hiring diverse talent Maintaining inclusive environment persistent selfreflection Building culture care engagement recognition clear outcomes Ensuring growth opportunities people Actalent equal opportunity employer.,0
Job Responsibilities assigned substation projects conception Early Stage construction commissioning Execution.,1
conceptual phase work EarlyStage Project Managers support engineering requirements scope Development Group.,1
Projects begin Federal Energy Regulatory Commission FERC 1000 competitive transmission project proposals greenfield projects.,1
Training due diligence technical oversight external engineers record EOR assigned substation projects ensure compliance required generation interconnection agreements scope work documents project specifications site specific design requirements IEEE NESC ASCE applicable industry codes standards.,1
Coordinate project stakeholders develop secure substation site support engineering updates data permits necessary design build substation.,1
Ensures projects efficiently cost effectively safely implemented accordance department process procedures industry standards policies.,1
Support assigned project commissioning activities meet corporate objectives.,1
Support Legal regulatory filings depositions hearings.,1
Bachelors degree Electrical Mechanical CivilStructural Engineering preferred.,0
5 years experience Substation design engineering High Voltage substation projects highly preferred.,0
Project Engineering Project Management experience strong bias action.,0
PMP . related discipline plus.,0
At ARSIEM Corporation committed fostering proven trusted partnership government clients.,0
provide support multiple agencies across United States Government.,0
ARSIEM experienced workforce qualified professionals committed providing best possible support.,0
As demand increases ARSIEM continues provide reliable cuttingedge technical solutions best value clients.,0
means career packed opportunities grow ability impact every client work with.,0
ARSIEM currently looking iOSSavvy vulnerability ResearcherReverse Engineer .,0
position support one Government clients Elkridge MD Laurel MD .,0
Responsibilities Support vulnerability researchreverse engineering prototype development team,0
Minimum Qualifications iOS experience,0
Vulnerability research experience,0
Binary reverse engineering experience,0
development experience,0
Clearance Requirement position requires active TSSCI polygraph.,0
must US Citizen consideration.,0
Candidate Referral know someone would GREAT role?,0
do ARSIEM way earn bonus referral program persons presenting NEW not resume database candidates successfully placed one projects.,0
bonus position 10 000 referrer eligible receive sum applicant able place within 12 months referral.,0
bonus paid referred employee reaches 6 months employment.,0
ARSIEM proud Equal Opportunity Affirmative Action Employer.,0
qualified applicants receive consideration employment without regard race color religion sex sexual orientation gender identity national origin disability veteran status age federally protected class.,0
CBTS serves enterprise midmarket clients industries across United States Canada.,0
CBTS combines deep technical expertise full suite flexible technology solutionsincluding Application Modernization Managed Hybrid Cloud Cybersecurity Unified Communications Infrastructure solutions.,0
developing deploying modern applications secure scalable platforms run managing monitoring optimizing operations CBTS delivers comprehensive technology solutions clients transformative business initiatives.,0
For more information please visit .,0
"As a Cisco Webex Voice Engineer, you will be responsible for designing, implementing, and maintaining Cisco Webex Voice solutions for enterprise customers.",1
You will work with customers and cross-functional teams to understand business requirements and provide technical guidance to deliver Cisco Webex Voice solutions that meet their needs.,1
You will provide technical support and troubleshooting to resolve issues related to Cisco Webex Voice solutions.,1
You will maintain and update Cisco Webex Voice solutions to ensure optimal performance and functionality.,1
"You will develop and maintain technical documentation, including network diagrams and configurations.",1
You will provide training and support to end users as needed.,1
"You will work with teams of network engineers, security engineers, and application developers to ensure seamless integration of systems.",1
You will participate in testing and evaluation of new Cisco Webex Voice features and functionality.,1
Four years of college resulting in a Bachelor's Degree or equivalent,0
"Certifications or Accreditations: Cisco CCNA Voice, CCNP Voice certification preferred",0
Relevant Work Experience: 5-7 years in a related field,0
"Special Knowledge Skills Abilities: Experience designing, implementing, and maintaining Cisco Webex Voice solutions",0
Strong understanding of SIP and VoIP protocols,0
"Strong understanding of configuration abilities with Cisco On-Premises Suite (CUCM, Unity, CER, UCCX, etc.)",0
"Familiarity with Cisco Cloud-Based Suite (Webex Calling, Webex Calling Dedicated Instance, Control Hub, Hybrid Services, Analytics, etc.)",0
Strong understanding of configuration abilities with Cisco ISRs and traditional Voice Gateways,0
"Familiarity with Active Directory technologies (Azure AD, Okta, etc.)",0
"Basic Troubleshooting capabilities for Voice/Video QOS, Log Gathering, etc.",0
"Knowledge of Cisco Collaboration Endpoints (IP Phones, Video Endpoints, Webex Boards)",0
Strong analytical and problem-solving skills,0
Excellent communication and interpersonal skills,0
"We are an equal opportunity employer and qualified applicants will receive consideration for employment without regard to race, color, national origin, ancestry, age, disability, religion, sex, sexual orientation, gender identity, gender expression, protected veteran, military status, or any other characteristic protected by law.",0
"Due to U.S. Government requirements for applicable foreign-owned telecommunications providers, non-U.S. citizens may be required to submit to extensive government agency background checks that may necessitate the disclosure of sensitive Personally Identifiable Information.",0
create worldclass designs,0
exciting challenges,0
team and leadership,0
company achievements,0
work life balance,0
Build effective relationships existing clients customers contractors develop new business opportunities.,0
Participate sales marketing efforts identify key pursuits.,0
The Senior Structural Engineer lead structural design project teams,1
Lead structural design projects conceptual phase design completion project needs requirements set forth project managers.,1
Review structural vendor drawings data interface suppliers clients engineering disciplines detailers designers.,1
Participate development project schedule scope budget staffing planning construction planning.,1
Quality review production drawings variety projects projectrelated data required project managers verify corrections made within multiple CAD related software.,1
Quality review construction administration including coordination field personnel resolve designrelated installation issues calculations field inspections testing materials.,1
Leads field inspections installation measurements calculations public private clients.,1
Prepare present technical reports clients industry publications.,1
Prepare present project budgets cost estimates.,1
Report project performance.,1
Provide leadership guidance instruction structural engineering practice.,1
Mentor guide less experienced engineers.,1
Responsible QAQC process adherence.,1
Responsible effective communication engineering disciplines.,1
Responsible compliance company site safety policies.,1
duties assigned.,1
Bachelor Science Structural Engineering related degree ABET accredited program.,0
Bachelor Science Structural related Engineering Technology ABET accredited program successful completion Fundamentals Engineering FE exam.,0
Master Science degree Structural Engineering plus.,0
7 years structural engineering experience.,0
EPC project experience preferred.,0
Professional Engineering License PE preferred.,0
Expert knowledge standard engineering techniques procedures.,0
Strong knowledge structural design codes . IBC AISC ACI ASCE7.,0
Strong computer skills . Microsoft Office Suite.,0
Experience leading discipline design large projects delegating work tasks team members.,0
Ability lead execution work resolve issues team environment.,0
Demonstrated critical thinking skills ability work methodically analytically quantitative problemsolving environment.,0
Strong attention detail facilitation team building collaboration organization problemsolving skills.,0
Ability perform quality reviews detailed engineering documents specifications.,0
Ability travel.,0
EEOMinoritiesFemalesDisabledVeterans,0
The Technology Product Experience TPX organization works intersection media technology innovative teams continually developing delivering products nextgeneration technologies transform customer experience.,0
creating apps like TVGo new features Talking Guide X1 platform work every day make positive impact innovation pursuit building amazing products enjoyable easy use accessible across platforms.,0
team also develops supports evolving network architecture including nextgeneration consumer systems technologies infrastructure engineering network integration management tools technical standards.,0
offer flexible working environment balance need work independently wherever choose days require collaboration one offices.,0
roles primarily reside inside around one Tech Hubs Philadelphia surrounding suburbs Denver Austin Silicon Valley Washington DCN. Virginia.,0
roles work virtual fulltime near Tech Hub dependent upon needs position amount collaboration required.,0
Overview role Drives issues closure engaging appropriate resources.,0
Leads technical bridges provides direction.,0
Provides guidance recommended solutions complex technical issues.,0
Acts advocate Engineering Operations procedures policies processes.,0
Ensures projects fully integrated operations environment including lifecycle problem management front line CARE Engineering.,0
Creates data metric systems track operational workflows maintains records results feedback.,0
Analyzes data metrics identifies problem areas provides practical insight management.,0
Provides guidance Engineering vendors defects required enhancements.,0
Attains relevant industry standard technical certifications.,0
Performs complex routine maintenance tests designated areas engineering.,0
Identifies isolates advances issues appropriate personnel.,0
Ensures maintenance properly validated minimize subscriber impact ideally zero.,0
Contributes design considerations new products architectural changes existing products.,0
Assists leads efforts build new application infrastructure coordinating efforts across teams.,0
Analyses problems design configuration data flow data state within highly complex multiproduct provisioning system.,0
Serves team lead multiple projects often spanning different engineering subject areas within organization.,0
Leads integration projects operations including instrumentation automation standardization methodsprocedures.,0
direct supervisory responsibilities.,0
May direct workflow act technical lead.,0
Consistent exercise independent judgment discretion matters significance.,0
Regular consistent punctual attendance.,0
Must able work nights weekends variable schedules overtime necessary.,0
duties responsibilities assigned.,0
Experience 5 years building operations 5 years Building Automation Systems Licensed HVAC tech Licensed Electrician 5 years experience critical cooling systems Knowledge critical electrical distribution systems,0
Preferred Skills Experience 5 years building operations 5 years Building Automation Systems Licensed HVAC tech Licensed Electrician 5 years experience critical cooling systems Knowledge critical electrical distribution systems,0
Relevant Work Experience 57 Years,0
POSITION INELIGIBLE VISA SPONSORSHIP.,0
CONSIDERED ROLE MUST LEGALLY AUTHORIZED WORK UNITED STATES REQUIRE SPONSORSHIP EMPLOYMENT FUTURE.,0
Reasonable Accommodation We ensure individuals disabilities provided reasonable accommodation participate job application interview process perform essential job functions receive benefits privileges employment.,0
Comcast EOEVeteransDisabledLGBT employer.,0
Disclaimer This information designed indicate general nature level work performed employees role.,0
designed contain interpreted comprehensive inventory duties responsibilities qualifications.,0
Education Bachelors Degree While possessing stated degree preferred Comcast also may consider applicants hold combination coursework experience extensive related professional experience.,0
Base pay one part Total Rewards Comcast provides compensate recognize employees work.,0
nonsales positions eligible Bonus.,0
Additionally Comcast provides best-in-class Benefits.,0
The iPhone Hardware Engineering team seeking hardworking electrical engineer position Hardware Engineer System Technologies.,0
ideal candidate work iPhone Hardware multifunctional teams perform indepth debug modeling simulation sophisticated electric magnetic effects mobile systems design.,0
Perform layout extractions setup transient simulations driver receiver models,1
Work multifunctional teams define design requirements improved EM performance 3DEM circuit modeling simulations frequency time domains.,1
Review layouts simulate crosstalk coupling concerns,1
Simulation analysis system highspeed circuits signal integrity potential EMI,1
Perform design feasibility study design testing verification system bring up.,1
Provide design guideline support system architecture design board layout product bring up debug validation factory builds.,1
Develop improve design methodologies achieve minimal EMI,1
2years experience,0
Must strong EE fundamentals problems solving skills,0
Must strong academic background EM theory coupling mechanisms.,0
Must experience signal power integrity,0
Ability relate electrical performance physical layout,0
Experience 3D EM simulations debugging mitigating complex EM coexistence issues,0
Handson experience EM circuit simulation tools Ansys HFSSMaxwellSIWave CST ADSSpiceSpectre CadenceSigrity scripting languages Python Perl,0
Handson experience hardware boardlevel testing validation lab equipment near field scanning spectrum analyzers VNAs scopes,0
Apple equal opportunity employer committed inclusion diversity.,0
take affirmative action ensure equal opportunity applicants without regard race color religion sex sexual orientation gender identity national origin disability Veteran status legally protected characteristics.,0
Learn EEO rights applicant Opens new window .,0
